
> cairn-desktop@0.6.0 lab
> vite dev -c vite.lab.config.ts

[33mThe CJS build of Vite's Node API is deprecated. See https://vite.dev/guide/troubleshooting.html#vite-cjs-node-api-deprecated for more details.[39m

  VITE v5.4.21  ready in 264 ms

  ➜  Local:   http://localhost:7390/
  ➜  Network: use --host to expose
11:16:39 AM [vite] page reload .vite/renderer/main_window/index.html
11:16:39 AM [vite] page reload .vite/renderer/main_window/index.html
12:38:01 PM [vite] hmr update /src/renderer/app.css
12:39:19 PM [vite] hmr update /src/renderer/app.css
12:40:05 PM [vite] hmr update /src/renderer/app.css
12:44:32 PM [vite] page reload .vite/renderer/main_window/index.html
12:44:32 PM [vite] page reload .vite/renderer/main_window/index.html
1:34:54 PM [vite] page reload .vite/renderer/main_window/index.html
1:34:54 PM [vite] page reload .vite/renderer/main_window/index.html
3:27:38 PM [vite] page reload lab/castboard.html
3:31:47 PM [vite] vite.lab.config.ts changed, restarting server...
3:31:47 PM [vite] server restarted.
4:04:59 PM [vite] hmr update /lab/castboard.tsx
4:05:35 PM [vite] hmr update /lab/castboard.css
4:16:14 PM [vite] hmr update /lab/castboard.tsx
4:16:14 PM [vite] hmr update /lab/castboard.css
5:38:23 PM [vite] page reload .vite/renderer/main_window/index.html
6:04:37 PM [vite] page reload .vite/renderer/main_window/index.html
6:04:37 PM [vite] page reload .vite/renderer/main_window/index.html
6:14:00 PM [vite] page reload .vite/renderer/main_window/index.html
6:14:00 PM [vite] page reload .vite/renderer/main_window/index.html
6:21:34 PM [vite] page reload .vite/renderer/main_window/index.html
6:21:34 PM [vite] page reload .vite/renderer/main_window/index.html
8:31:04 PM [vite] hmr update /lab/castboard.tsx
8:31:50 PM [vite] hmr update /lab/castboard.css
8:40:59 PM [vite] page reload .vite/renderer/main_window/index.html
8:40:59 PM [vite] page reload .vite/renderer/main_window/index.html
9:07:36 PM [vite] page reload .vite/renderer/main_window/index.html
9:07:36 PM [vite] page reload .vite/renderer/main_window/index.html
9:10:59 PM [vite] page reload .vite/renderer/main_window/index.html
9:10:59 PM [vite] page reload .vite/renderer/main_window/index.html
9:13:46 PM [vite] page reload .vite/renderer/main_window/index.html
9:13:46 PM [vite] page reload .vite/renderer/main_window/index.html
9:17:46 PM [vite] page reload .vite/renderer/main_window/index.html
9:17:46 PM [vite] page reload .vite/renderer/main_window/index.html
9:25:51 PM [vite] page reload .vite/renderer/main_window/index.html
9:25:51 PM [vite] page reload .vite/renderer/main_window/index.html
9:25:57 PM [vite] page reload .vite/renderer/main_window/index.html
9:25:57 PM [vite] page reload .vite/renderer/main_window/index.html
9:26:43 PM [vite] page reload .vite/renderer/main_window/index.html
9:26:43 PM [vite] page reload .vite/renderer/main_window/index.html
9:28:02 PM [vite] page reload .vite/renderer/main_window/index.html
9:28:02 PM [vite] page reload .vite/renderer/main_window/index.html
10:13:11 PM [vite] page reload .vite/renderer/main_window/index.html
10:13:11 PM [vite] page reload .vite/renderer/main_window/index.html
10:13:19 PM [vite] page reload .vite/renderer/main_window/index.html
10:13:19 PM [vite] page reload .vite/renderer/main_window/index.html
10:20:08 PM [vite] page reload .vite/renderer/main_window/index.html
10:20:08 PM [vite] page reload .vite/renderer/main_window/index.html
10:20:10 PM [vite] page reload .vite/renderer/main_window/index.html
10:20:10 PM [vite] page reload .vite/renderer/main_window/index.html
10:24:53 PM [vite] page reload .vite/renderer/main_window/index.html
10:24:53 PM [vite] page reload .vite/renderer/main_window/index.html
11:10:24 PM [vite] hmr update /src/renderer/components/Ui.tsx
11:10:50 PM [vite] hmr update /src/renderer/App.tsx
11:11:13 PM [vite] page reload .vite/renderer/main_window/index.html
11:11:13 PM [vite] page reload .vite/renderer/main_window/index.html
11:11:42 PM [vite] hmr update /src/renderer/App.tsx
11:12:27 PM [vite] hmr update /src/renderer/screens/Workspace.tsx
11:12:58 PM [vite] hmr update /src/renderer/screens/Workspace.tsx
11:14:24 PM [vite] hmr update /src/renderer/app.css
11:20:11 PM [vite] page reload .vite/renderer/main_window/index.html
11:20:11 PM [vite] page reload .vite/renderer/main_window/index.html
11:21:29 PM [vite] page reload .vite/renderer/main_window/index.html
11:52:42 PM [vite] page reload .vite/renderer/main_window/index.html
1:29:53 AM [vite] hmr update /src/renderer/components/PairPhone.tsx
1:33:33 AM [vite] hmr update /src/renderer/components/PairPhone.tsx
1:33:54 AM [vite] hmr update /src/renderer/components/PairPhone.tsx
1:38:57 AM [vite] hmr update /src/renderer/screens/Picker.tsx
1:38:57 AM [vite] hmr update /src/renderer/App.tsx
1:38:57 AM [vite] hmr update /src/renderer/screens/Chat.tsx
1:38:57 AM [vite] hmr update /src/renderer/screens/Workspace.tsx
1:40:02 AM [vite] hmr update /src/renderer/App.tsx
1:40:02 AM [vite] hmr update /src/renderer/screens/Workspace.tsx
1:40:02 AM [vite] hmr update /src/renderer/app.css
1:40:02 AM [vite] hmr update /src/renderer/screens/Chat.tsx
1:49:35 AM [vite] hmr update /src/renderer/screens/Picker.tsx
1:50:06 AM [vite] hmr update /src/renderer/screens/Workspace.tsx
1:53:43 AM [vite] page reload lab/mock-cairn.ts
1:53:43 AM [vite] hmr update /src/renderer/App.tsx
1:55:27 AM [vite] hmr update /src/renderer/screens/Picker.tsx
2:16:06 AM [vite] page reload .vite/renderer/main_window/index.html
2:22:57 AM [vite] page reload .vite/renderer/main_window/index.html
